datetime,open,high,low,close,volume
2025-02-01 00:00:00+00:00,231.514,232.61,230.783,232.554,1048.77
2025-02-01 00:15:00+00:00,232.573,232.939,231.136,231.136,429.53
2025-02-01 00:30:00+00:00,231.143,231.941,230.81,231.524,265.38
2025-02-01 00:45:00+00:00,231.439,232.45,231.352,232.45,332.39
2025-02-01 01:00:00+00:00,232.341,233.595,232.269,233.595,980.47
2025-02-01 01:15:00+00:00,233.498,233.77,232.75,233.473,410.94
2025-02-01 01:30:00+00:00,233.42,233.98,233.11,233.827,319.1
2025-02-01 01:45:00+00:00,233.7,233.768,232.236,232.236,279.09
2025-02-01 02:00:00+00:00,232.215,232.215,231.439,231.601,682.08
2025-02-01 02:15:00+00:00,231.598,233.281,231.598,232.825,1326.8
2025-02-01 02:30:00+00:00,232.723,232.826,231.975,232.192,255.7
2025-02-01 02:45:00+00:00,232.195,232.75,232.1,232.742,307.37
2025-02-01 03:00:00+00:00,232.75,232.92,230.993,231.402,897.5
2025-02-01 03:15:00+00:00,231.316,231.402,230.582,230.819,441.59
2025-02-01 03:30:00+00:00,230.798,231.282,230.541,230.9,408.25
2025-02-01 03:45:00+00:00,230.877,231.607,230.875,231.286,311.73
2025-02-01 04:00:00+00:00,231.339,231.72,230.949,231.1,171.35
2025-02-01 04:15:00+00:00,231.102,231.82,230.95,231.82,193.31
2025-02-01 04:30:00+00:00,231.83,232.385,231.724,232.2,221.41
2025-02-01 04:45:00+00:00,232.103,232.18,231.553,231.672,46.73
2025-02-01 05:00:00+00:00,231.667,232.34,231.514,232.24,394.23
2025-02-01 05:15:00+00:00,232.231,232.652,232.032,232.396,133.2
2025-02-01 05:30:00+00:00,232.399,232.955,232.052,232.754,51.85
2025-02-01 05:45:00+00:00,232.761,232.962,231.93,232.077,1280.16
2025-02-01 06:00:00+00:00,232.076,232.076,231.28,231.323,266.39
2025-02-01 06:15:00+00:00,231.426,231.52,230.948,231.156,213.79
2025-02-01 06:30:00+00:00,231.1,231.45,230.7,230.7,164.54
2025-02-01 06:45:00+00:00,230.8,231.38,230.28,231.244,1043.99
2025-02-01 07:00:00+00:00,231.226,231.536,230.647,230.647,311.97
2025-02-01 07:15:00+00:00,230.664,230.685,229.628,230.109,630.68
2025-02-01 07:30:00+00:00,230.194,230.5,229.91,230.114,230.94
2025-02-01 07:45:00+00:00,230.176,230.598,230.125,230.47,223.44
2025-02-01 08:00:00+00:00,230.585,230.798,230.335,230.335,362.25
2025-02-01 08:15:00+00:00,230.3,230.3,229.116,229.597,751.06
2025-02-01 08:30:00+00:00,229.472,229.49,228.8,228.986,1362.79
2025-02-01 08:45:00+00:00,228.952,229.624,228.6,229.439,522.25
2025-02-01 09:00:00+00:00,229.4,229.4,228.711,228.739,333.87
2025-02-01 09:15:00+00:00,228.71,229.08,228.027,228.382,852.34
2025-02-01 09:30:00+00:00,228.4,228.52,227.301,227.595,1116.28
2025-02-01 09:45:00+00:00,227.513,227.668,226.787,226.88,1091.08
2025-02-01 10:00:00+00:00,227.007,228.245,227.007,227.929,708.98
2025-02-01 10:15:00+00:00,227.86,228.238,227.332,228.036,594.96
2025-02-01 10:30:00+00:00,228.014,228.464,227.3,227.3,399.12
2025-02-01 10:45:00+00:00,227.412,227.599,226.255,226.419,819.46
2025-02-01 11:00:00+00:00,226.41,227.18,226.273,227.023,295.56
2025-02-01 11:15:00+00:00,227.114,227.733,227.0,227.569,267.04
2025-02-01 11:30:00+00:00,227.605,227.734,226.94,227.109,296.12
2025-02-01 11:45:00+00:00,227.114,228.05,226.816,227.919,333.49
2025-02-01 12:00:00+00:00,227.934,228.2,227.655,227.8,289.28
2025-02-01 12:15:00+00:00,227.78,228.068,227.5,227.842,439.8
2025-02-01 12:30:00+00:00,227.827,228.442,227.827,228.385,1241.02
2025-02-01 12:45:00+00:00,228.374,229.21,228.374,228.97,750.43
2025-02-01 13:00:00+00:00,228.954,229.137,228.3,228.99,1083.39
2025-02-01 13:15:00+00:00,228.98,229.284,228.704,228.96,347.24
2025-02-01 13:30:00+00:00,228.941,229.04,228.5,228.5,368.12
2025-02-01 13:45:00+00:00,228.49,228.49,226.872,226.872,824.8
2025-02-01 14:00:00+00:00,226.971,228.027,226.651,227.112,501.67
2025-02-01 14:15:00+00:00,227.09,227.498,226.551,227.023,570.84
2025-02-01 14:30:00+00:00,227.0,227.598,226.977,227.573,268.72
2025-02-01 14:45:00+00:00,227.519,227.519,225.043,225.237,2096.23
2025-02-01 15:00:00+00:00,225.24,226.268,224.731,225.838,750.91
2025-02-01 15:15:00+00:00,225.862,226.182,224.938,225.7,455.22
2025-02-01 15:30:00+00:00,225.666,226.607,225.434,226.587,852.73
2025-02-01 15:45:00+00:00,226.543,226.713,226.064,226.267,300.06
2025-02-01 16:00:00+00:00,226.183,226.803,225.8,225.911,565.89
2025-02-01 16:15:00+00:00,225.795,226.81,225.179,226.472,525.95
2025-02-01 16:30:00+00:00,226.41,226.57,225.591,225.683,286.74
2025-02-01 16:45:00+00:00,225.56,226.268,224.38,224.741,895.18
2025-02-01 17:00:00+00:00,224.865,226.084,224.826,226.084,757.44
2025-02-01 17:15:00+00:00,225.958,227.476,225.862,227.116,1215.07
2025-02-01 17:30:00+00:00,227.167,227.205,226.154,226.6,714.46
2025-02-01 17:45:00+00:00,226.577,227.513,226.577,227.108,644.64
2025-02-01 18:00:00+00:00,227.171,227.256,226.419,226.657,681.56
2025-02-01 18:15:00+00:00,226.6,226.656,225.954,226.345,894.78
2025-02-01 18:30:00+00:00,226.399,226.8,225.288,225.66,558.28
2025-02-01 18:45:00+00:00,225.815,225.899,224.283,224.353,1546.41
2025-02-01 19:00:00+00:00,224.323,224.456,223.51,223.766,2214.96
2025-02-01 19:15:00+00:00,223.766,224.44,222.725,223.078,1447.11
2025-02-01 19:30:00+00:00,223.0,223.0,221.415,222.074,3016.91
2025-02-01 19:45:00+00:00,221.95,222.118,220.747,221.563,1779.12
2025-02-01 20:00:00+00:00,221.516,221.516,219.222,219.301,4350.98
2025-02-01 20:15:00+00:00,219.301,220.1,217.283,217.558,5048.84
2025-02-01 20:30:00+00:00,217.563,219.762,216.7,218.998,2909.18
2025-02-01 20:45:00+00:00,218.877,219.297,217.1,218.393,1732.22
2025-02-01 21:00:00+00:00,218.371,219.537,217.415,218.942,2319.71
2025-02-01 21:15:00+00:00,218.974,219.19,218.3,218.578,896.2
2025-02-01 21:30:00+00:00,218.561,218.561,216.464,216.88,1585.44
2025-02-01 21:45:00+00:00,216.906,217.125,215.649,215.95,4046.44
2025-02-01 22:00:00+00:00,215.918,217.383,215.507,215.615,1551.33
2025-02-01 22:15:00+00:00,215.576,215.78,214.263,214.573,2785.91
2025-02-01 22:30:00+00:00,214.52,216.884,213.696,216.813,6556.4
2025-02-01 22:45:00+00:00,216.806,216.909,215.18,215.802,1612.15
2025-02-01 23:00:00+00:00,215.816,215.816,213.577,213.654,2046.34
2025-02-01 23:15:00+00:00,213.678,214.207,212.895,213.66,4283.5
2025-02-01 23:30:00+00:00,213.374,214.95,213.341,214.519,5775.61
2025-02-01 23:45:00+00:00,214.458,214.913,212.659,212.882,5297.23
2025-02-02 00:00:00+00:00,212.868,215.648,212.433,214.88,3092.57
2025-02-02 00:15:00+00:00,214.897,215.704,214.096,215.7,1439.76
2025-02-02 00:30:00+00:00,215.475,217.264,215.271,217.122,4066.94
2025-02-02 00:45:00+00:00,217.152,217.86,216.161,217.005,5457.75
2025-02-02 01:00:00+00:00,217.05,218.801,216.874,218.067,2567.81
2025-02-02 01:15:00+00:00,218.113,218.42,217.359,218.146,796.14
2025-02-02 01:30:00+00:00,218.186,218.19,217.476,218.073,185.91
2025-02-02 01:45:00+00:00,218.114,218.114,216.92,217.463,834.98
2025-02-02 02:00:00+00:00,217.51,217.547,215.641,215.663,913.63
2025-02-02 02:15:00+00:00,215.638,216.82,215.056,216.052,762.01
2025-02-02 02:30:00+00:00,216.04,216.04,214.45,215.638,383.81
2025-02-02 02:45:00+00:00,215.578,215.578,213.809,213.928,3414.59
2025-02-02 03:00:00+00:00,214.07,214.776,211.08,212.265,3657.38
2025-02-02 03:15:00+00:00,212.15,212.184,209.604,210.08,6521.89
2025-02-02 03:30:00+00:00,210.05,211.219,209.373,209.906,4877.64
2025-02-02 03:45:00+00:00,209.6,210.03,206.877,207.067,11079.48
2025-02-02 04:00:00+00:00,207.166,210.194,206.775,209.2,5469.04
2025-02-02 04:15:00+00:00,209.173,210.596,208.444,210.315,586.86
2025-02-02 04:30:00+00:00,210.304,210.889,209.442,209.795,798.24
2025-02-02 04:45:00+00:00,209.865,209.964,208.4,208.565,757.17
2025-02-02 05:00:00+00:00,208.568,210.329,208.204,209.137,983.58
2025-02-02 05:15:00+00:00,209.136,211.684,209.103,210.2,3657.59
2025-02-02 05:30:00+00:00,210.176,212.165,210.109,211.262,627.58
2025-02-02 05:45:00+00:00,211.4,212.76,210.9,212.299,859.54
2025-02-02 06:00:00+00:00,212.236,213.982,212.007,213.45,562.44
2025-02-02 06:15:00+00:00,213.37,214.026,212.723,213.745,869.99
2025-02-02 06:30:00+00:00,213.547,213.832,212.255,212.892,1199.83
2025-02-02 06:45:00+00:00,212.837,213.12,212.15,212.689,1786.37
2025-02-02 07:00:00+00:00,212.769,213.134,211.96,213.134,573.14
2025-02-02 07:15:00+00:00,213.11,213.137,211.062,211.497,1882.51
2025-02-02 07:30:00+00:00,211.52,212.019,211.194,211.905,526.12
2025-02-02 07:45:00+00:00,211.73,212.026,211.28,211.7,408.16
2025-02-02 08:00:00+00:00,211.693,212.255,210.751,211.17,361.35
2025-02-02 08:15:00+00:00,211.186,213.474,211.115,212.533,1346.21
2025-02-02 08:30:00+00:00,212.687,215.742,212.596,215.034,2195.28
2025-02-02 08:45:00+00:00,214.976,215.598,214.674,215.264,947.46
2025-02-02 09:00:00+00:00,215.0,215.033,214.033,214.315,1771.94
2025-02-02 09:15:00+00:00,214.253,214.253,212.862,213.309,1136.81
2025-02-02 09:30:00+00:00,213.084,214.458,212.992,214.315,630.8
2025-02-02 09:45:00+00:00,214.321,214.517,213.5,213.567,1094.34
2025-02-02 10:00:00+00:00,213.521,213.69,212.597,212.597,1317.08
2025-02-02 10:15:00+00:00,212.558,212.9,211.334,211.832,1864.6
2025-02-02 10:30:00+00:00,211.7,212.375,211.18,212.333,668.28
2025-02-02 10:45:00+00:00,212.231,213.175,211.898,212.019,1232.29
2025-02-02 11:00:00+00:00,211.87,212.128,210.75,211.13,978.66
2025-02-02 11:15:00+00:00,211.128,211.246,209.166,209.41,1604.39
2025-02-02 11:30:00+00:00,209.388,210.256,208.105,208.323,2092.67
2025-02-02 11:45:00+00:00,208.378,209.512,207.656,208.702,2056.38
2025-02-02 12:00:00+00:00,208.61,211.069,208.18,210.961,1580.28
2025-02-02 12:15:00+00:00,211.074,211.224,209.72,210.13,1906.96
2025-02-02 12:30:00+00:00,209.97,210.25,208.883,210.177,694.5
2025-02-02 12:45:00+00:00,210.114,210.46,208.191,208.231,2150.1
2025-02-02 13:00:00+00:00,208.364,211.059,208.303,210.258,1536.25
2025-02-02 13:15:00+00:00,210.363,211.145,209.675,210.629,567.84
2025-02-02 13:30:00+00:00,210.56,211.815,209.92,211.753,1306.02
2025-02-02 13:45:00+00:00,211.662,212.993,211.656,212.769,1553.44
2025-02-02 14:00:00+00:00,212.778,214.0,212.24,214.0,1773.95
2025-02-02 14:15:00+00:00,213.973,214.035,213.086,213.679,1277.86
2025-02-02 14:30:00+00:00,213.566,213.566,212.5,212.825,696.12
2025-02-02 14:45:00+00:00,212.735,213.664,212.11,213.25,1703.41
2025-02-02 15:00:00+00:00,213.2,213.2,211.638,211.8,1656.03
2025-02-02 15:15:00+00:00,211.796,212.255,210.05,210.05,1141.24
2025-02-02 15:30:00+00:00,210.04,212.136,209.529,210.786,2266.89
2025-02-02 15:45:00+00:00,210.508,212.55,210.42,211.953,1807.78
2025-02-02 16:00:00+00:00,212.0,212.087,209.313,209.313,1456.3
2025-02-02 16:15:00+00:00,209.342,210.397,208.36,208.36,2026.54
2025-02-02 16:30:00+00:00,208.42,208.833,206.34,207.426,5144.53
2025-02-02 16:45:00+00:00,207.245,207.525,205.744,206.441,3378.87
2025-02-02 17:00:00+00:00,206.55,208.678,205.805,207.457,4619.14
2025-02-02 17:15:00+00:00,207.456,207.456,204.0,205.371,12726.97
2025-02-02 17:30:00+00:00,205.273,206.9,203.949,204.188,3657.14
2025-02-02 17:45:00+00:00,204.116,204.216,202.066,203.002,5585.04
2025-02-02 18:00:00+00:00,202.888,204.505,201.869,202.216,6840.96
2025-02-02 18:15:00+00:00,202.08,204.283,201.0,203.821,6835.46
2025-02-02 18:30:00+00:00,203.853,203.92,198.111,198.512,6782.82
2025-02-02 18:45:00+00:00,198.68,200.41,197.13,197.636,3755.25
2025-02-02 19:00:00+00:00,197.566,198.928,195.385,197.1,6280.6
2025-02-02 19:15:00+00:00,197.021,198.531,194.734,197.96,6158.98
2025-02-02 19:30:00+00:00,197.92,205.45,197.872,204.949,6482.45
2025-02-02 19:45:00+00:00,205.0,206.293,202.116,203.358,7683.52
2025-02-02 20:00:00+00:00,203.337,205.472,202.512,205.355,1326.64
2025-02-02 20:15:00+00:00,205.375,206.647,204.308,204.454,4166.78
2025-02-02 20:30:00+00:00,204.76,204.981,203.087,203.75,2392.46
2025-02-02 20:45:00+00:00,203.691,203.691,201.792,202.824,2044.59
2025-02-02 21:00:00+00:00,202.823,203.92,201.699,202.855,1335.05
2025-02-02 21:15:00+00:00,203.016,203.31,201.471,201.726,2851.92
2025-02-02 21:30:00+00:00,201.8,203.799,201.001,202.359,1531.39
2025-02-02 21:45:00+00:00,202.121,203.348,201.2,201.995,870.75
2025-02-02 22:00:00+00:00,202.0,205.999,202.0,204.982,2274.24
2025-02-02 22:15:00+00:00,204.852,205.89,202.328,202.76,1156.35
2025-02-02 22:30:00+00:00,202.48,202.48,192.0,198.03,7517.51
2025-02-02 22:45:00+00:00,198.043,203.592,197.215,203.592,5162.62
2025-02-02 23:00:00+00:00,203.53,203.53,198.23,201.353,5260.32
2025-02-02 23:15:00+00:00,201.355,203.875,196.544,198.418,6156.04
2025-02-02 23:30:00+00:00,198.265,203.339,197.479,202.275,3987.78
